env,seed,lam,delta_exact,delta_learned,eps_score,delta_M,exact_decision,learned_decision,preserved
Env1_DoorKey-Lava,0,0.116,-0.004647156000000041,-0.013649568484785608,-0.009002412484785567,-0.004647156000000041,safe,safe,True
Env1_DoorKey-Lava,0,0.117,-0.005178597000000042,-0.014171975528267322,-0.00899337852826728,-0.005178597000000042,safe,safe,True
Env1_DoorKey-Lava,0,0.118,-0.005710038000000042,-0.014694382571749029,-0.008984344571748987,-0.005710038000000042,safe,safe,True
Env1_DoorKey-Lava,0,0.119,-0.006241479000000036,-0.01521678961523075,-0.008975310615230714,-0.006241479000000036,safe,safe,True
Env1_DoorKey-Lava,0,0.12,-0.006772920000000043,-0.01573919665871247,-0.008966276658712427,-0.006772920000000043,safe,safe,True
Env1_DoorKey-Lava,0,0.121,-0.007304361000000037,-0.016261603702194177,-0.00895724270219414,-0.007304361000000037,safe,safe,True
Env1_DoorKey-Lava,0,0.122,-0.007835802000000044,-0.016784010745675898,-0.008948208745675854,-0.007835802000000044,safe,safe,True
Env1_DoorKey-Lava,0,0.123,-0.008367243000000038,-0.01730641778915762,-0.00893917478915758,-0.008367243000000038,safe,safe,True
Env1_DoorKey-Lava,0,0.124,-0.008898684000000046,-0.017828824832639326,-0.00893014083263928,-0.008898684000000046,safe,safe,True
Env1_DoorKey-Lava,0,0.125,-0.00943012500000004,-0.018351231876121046,-0.008921106876121007,-0.00943012500000004,safe,safe,True
Env1_DoorKey-Lava,0,0.126,-0.009961566000000033,-0.018873638919602767,-0.008912072919602734,-0.009961566000000033,safe,safe,True
Env1_DoorKey-Lava,0,0.127,-0.01049300700000004,-0.019396045963084474,-0.008903038963084434,-0.01049300700000004,safe,safe,True
Env1_DoorKey-Lava,0,0.128,-0.011024448000000034,-0.019918453006566195,-0.00889400500656616,-0.011024448000000034,safe,safe,True
Env1_DoorKey-Lava,0,0.129,-0.011555889000000041,-0.020440860050047915,-0.008884971050047874,-0.011555889000000041,safe,safe,True
Env1_DoorKey-Lava,0,0.13,-0.012087330000000035,-0.020963267093529622,-0.008875937093529587,-0.012087330000000035,safe,safe,True
Env1_DoorKey-Lava,0,0.131,-0.012618771000000042,-0.021485674137011343,-0.0088669031370113,-0.012618771000000042,safe,safe,True
Env1_DoorKey-Lava,0,0.132,-0.013150212000000036,-0.022008081180493064,-0.008857869180493028,-0.013150212000000036,safe,safe,True
Env1_DoorKey-Lava,0,0.133,-0.013681653000000044,-0.022530488223974784,-0.008848835223974741,-0.013681653000000044,safe,safe,True
Env1_DoorKey-Lava,0,0.134,-0.014213094000000037,-0.02305289526745649,-0.008839801267456454,-0.014213094000000037,safe,safe,True
Env1_DoorKey-Lava,0,0.135,-0.014744535000000045,-0.023575302310938212,-0.008830767310938167,-0.014744535000000045,safe,safe,True
Env1_DoorKey-Lava,0,0.136,-0.015275976000000038,-0.024097709354419933,-0.008821733354419894,-0.015275976000000038,safe,safe,True
Env1_DoorKey-Lava,0,0.137,-0.015807417000000046,-0.02462011639790164,-0.008812699397901594,-0.015807417000000046,safe,safe,True
Env1_DoorKey-Lava,0,0.138,-0.01633885800000004,-0.02514252344138336,-0.008803665441383321,-0.01633885800000004,safe,safe,True
Env1_DoorKey-Lava,0,0.139,-0.016870299000000047,-0.02566493048486508,-0.008794631484865034,-0.016870299000000047,safe,safe,True
Env1_DoorKey-Lava,0,0.14,-0.01740174000000004,-0.026187337528346788,-0.008785597528346747,-0.01740174000000004,safe,safe,True
Env1_DoorKey-Lava,0,0.141,-0.017933181000000034,-0.026709744571828495,-0.00877656357182846,-0.017933181000000034,safe,safe,True
Env1_DoorKey-Lava,0,0.142,-0.018464622000000028,-0.027232151615310216,-0.008767529615310188,-0.018464622000000028,safe,safe,True
Env1_DoorKey-Lava,0,0.143,-0.018996063000000035,-0.027754558658791922,-0.008758495658791887,-0.018996063000000035,safe,safe,True
Env1_DoorKey-Lava,0,0.144,-0.01952750400000003,-0.028276965702273643,-0.008749461702273614,-0.01952750400000003,safe,safe,True
Env1_DoorKey-Lava,0,0.145,-0.020058945000000036,-0.028799372745755364,-0.008740427745755328,-0.020058945000000036,safe,safe,True
Env1_DoorKey-Lava,0,0.146,-0.02059038600000003,-0.02932177978923707,-0.00873139378923704,-0.02059038600000003,safe,safe,True
Env1_DoorKey-Lava,0,0.147,-0.021121827000000037,-0.02984418683271879,-0.008722359832718754,-0.021121827000000037,safe,safe,True
Env1_DoorKey-Lava,0,0.148,-0.02165326800000003,-0.030366593876200512,-0.008713325876200481,-0.02165326800000003,safe,safe,True
Env1_DoorKey-Lava,0,0.149,-0.02218470900000004,-0.030889000919682233,-0.008704291919682194,-0.02218470900000004,safe,safe,True
Env1_DoorKey-Lava,0,0.15,-0.022716150000000032,-0.03141140796316394,-0.008695257963163908,-0.022716150000000032,safe,safe,True
Env1_DoorKey-Lava,0,0.151,-0.02324759100000004,-0.03193381500664566,-0.008686224006645621,-0.02324759100000004,safe,safe,True
Env1_DoorKey-Lava,0,0.152,-0.023779032000000033,-0.03245622205012738,-0.008677190050127348,-0.023779032000000033,safe,safe,True
Env1_DoorKey-Lava,0,0.153,-0.02431047300000004,-0.03297862909360909,-0.008668156093609047,-0.02431047300000004,safe,safe,True
Env1_DoorKey-Lava,0,0.154,-0.024841914000000034,-0.03350103613709081,-0.008659122137090774,-0.024841914000000034,safe,safe,True
Env1_DoorKey-Lava,0,0.155,-0.025373355000000042,-0.03402344318057253,-0.008650088180572488,-0.025373355000000042,safe,safe,True
Env1_DoorKey-Lava,0,0.156,-0.025904796000000035,-0.034545850224054236,-0.008641054224054201,-0.025904796000000035,safe,safe,True
Env1_DoorKey-Lava,0,0.157,-0.026436237000000043,-0.03506825726753596,-0.008632020267535914,-0.026436237000000043,safe,safe,True
Env1_DoorKey-Lava,0,0.158,-0.026967678000000037,-0.03559066431101768,-0.008622986311017641,-0.026967678000000037,safe,safe,True
Env1_DoorKey-Lava,0,0.159,-0.027499119000000044,-0.036113071354499385,-0.00861395235449934,-0.027499119000000044,safe,safe,True
Env1_DoorKey-Lava,0,0.16,-0.028030560000000038,-0.036635478397981106,-0.008604918397981068,-0.028030560000000038,safe,safe,True
Env1_DoorKey-Lava,0,0.161,-0.028562001000000045,-0.037157885441462826,-0.008595884441462781,-0.028562001000000045,safe,safe,True
Env1_DoorKey-Lava,0,0.162,-0.02909344200000004,-0.03768029248494453,-0.008586850484944494,-0.02909344200000004,safe,safe,True
Env1_DoorKey-Lava,0,0.163,-0.029624883000000046,-0.038202699528426254,-0.008577816528426208,-0.029624883000000046,safe,safe,True
Env1_DoorKey-Lava,0,0.164,-0.03015632400000004,-0.038725106571907975,-0.008568782571907935,-0.03015632400000004,safe,safe,True
Env1_DoorKey-Lava,0,0.165,-0.030687765000000047,-0.039247513615389695,-0.008559748615389648,-0.030687765000000047,safe,safe,True
Env1_DoorKey-Lava,0,0.166,-0.03121920600000004,-0.0397699206588714,-0.008550714658871361,-0.03121920600000004,safe,safe,True
Env1_DoorKey-Lava,0,0.167,-0.03175064700000005,-0.04029232770235312,-0.008541680702353074,-0.03175064700000005,safe,safe,True
Env1_DoorKey-Lava,0,0.168,-0.03228208800000004,-0.040814734745834844,-0.008532646745834802,-0.03228208800000004,safe,safe,True
Env1_DoorKey-Lava,0,0.169,-0.03281352900000005,-0.04133714178931655,-0.008523612789316501,-0.03281352900000005,safe,safe,True
Env1_DoorKey-Lava,0,0.17,-0.03334497000000004,-0.04185954883279827,-0.008514578832798228,-0.03334497000000004,safe,safe,True
Env1_DoorKey-Lava,0,0.171,-0.03387641100000005,-0.04238195587627999,-0.008505544876279941,-0.03387641100000005,safe,safe,True
Env1_DoorKey-Lava,0,0.172,-0.03440785200000003,-0.042904362919761685,-0.008496510919761655,-0.03440785200000003,safe,safe,True
Env1_DoorKey-Lava,0,0.173,-0.03493929300000004,-0.043426769963243406,-0.008487476963243368,-0.03493929300000004,safe,safe,True
Env1_DoorKey-Lava,0,0.174,-0.03547073400000003,-0.043949177006725126,-0.008478443006725095,-0.03547073400000003,safe,safe,True
Env1_DoorKey-Lava,0,0.175,-0.03600217500000004,-0.04447158405020683,-0.008469409050206794,-0.03600217500000004,safe,safe,True
Env1_DoorKey-Lava,0,0.176,-0.03653361600000003,-0.044993991093688554,-0.008460375093688521,-0.03653361600000003,safe,safe,True
Env1_DoorKey-Lava,0,0.177,-0.03706505700000004,-0.045516398137170275,-0.008451341137170235,-0.03706505700000004,safe,safe,True
Env1_DoorKey-Lava,0,0.178,-0.037596498000000034,-0.04603880518065198,-0.008442307180651948,-0.037596498000000034,safe,safe,True
Env1_DoorKey-Lava,0,0.179,-0.03812793900000004,-0.0465612122241337,-0.008433273224133661,-0.03812793900000004,safe,safe,True
Env1_DoorKey-Lava,0,0.18,-0.038659380000000035,-0.04708361926761542,-0.008424239267615388,-0.038659380000000035,safe,safe,True
Env1_DoorKey-Lava,0,0.181,-0.03919082100000004,-0.047606026311097144,-0.008415205311097101,-0.03919082100000004,safe,safe,True
Env1_DoorKey-Lava,0,0.182,-0.039722262000000036,-0.04812843335457885,-0.008406171354578815,-0.039722262000000036,safe,safe,True
Env1_DoorKey-Lava,0,0.183,-0.04025370300000004,-0.04865084039806057,-0.008397137398060528,-0.04025370300000004,safe,safe,True
Env1_DoorKey-Lava,0,0.184,-0.04078514400000004,-0.04917324744154229,-0.008388103441542255,-0.04078514400000004,safe,safe,True
Env1_DoorKey-Lava,0,0.185,-0.041316585000000045,-0.049695654485024,-0.008379069485023954,-0.041316585000000045,safe,safe,True
Env1_DoorKey-Lava,0,0.186,-0.04184802600000004,-0.05021806152850572,-0.008370035528505682,-0.04184802600000004,safe,safe,True
Env1_DoorKey-Lava,0,0.187,-0.042379467000000046,-0.05074046857198744,-0.008361001571987395,-0.042379467000000046,safe,safe,True
Env1_DoorKey-Lava,0,0.188,-0.04291090800000004,-0.05126287561546915,-0.008351967615469108,-0.04291090800000004,safe,safe,True
Env1_DoorKey-Lava,0,0.189,-0.04344234900000005,-0.05178528265895087,-0.008342933658950821,-0.04344234900000005,safe,safe,True
