env,seed,lam,lam_min_hat,lam_star,lam_over_lam_min,a_decoy,action_chosen,is_safe_action,achieved_return_irr_twin
Env2_Sokoban-barrier,0,1.05,0.113240905756104,0.114,9.27226776392507,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.1,0.113240905756104,0.114,9.713804324111978,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.1500000000000001,0.113240905756104,0.114,10.155340884298887,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.2000000000000002,0.113240905756104,0.114,10.596877444485795,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.25,0.113240905756104,0.114,11.038414004672703,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.3,0.113240905756104,0.114,11.47995056485961,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.35,0.113240905756104,0.114,11.92148712504652,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.4000000000000001,0.113240905756104,0.114,12.363023685233427,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.4500000000000002,0.113240905756104,0.114,12.804560245420335,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.5,0.113240905756104,0.114,13.246096805607243,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.0,0.113240905756104,0.114,0.0,N,N,False,0.3
Env2_Sokoban-barrier,1,0.05,0.113240905756104,0.114,0.4415365601869081,N,N,False,0.3
Env2_Sokoban-barrier,1,0.1,0.113240905756104,0.114,0.8830731203738162,N,N,False,0.3
Env2_Sokoban-barrier,1,0.15000000000000002,0.113240905756104,0.114,1.3246096805607244,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.2,0.113240905756104,0.114,1.7661462407476325,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.25,0.113240905756104,0.114,2.2076828009345406,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.30000000000000004,0.113240905756104,0.114,2.6492193611214487,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.35000000000000003,0.113240905756104,0.114,3.090755921308357,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.4,0.113240905756104,0.114,3.532292481495265,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.45,0.113240905756104,0.114,3.9738290416821727,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.5,0.113240905756104,0.114,4.415365601869081,N,E,True,0.5904900000000002
