seed,lam,delta_exact,delta_learned,eps_score,delta_M,exact_decision,learned_decision,score_error,exact_margin,within_margin,preserved
4,0.45,-0.18914845000000008,-0.16358292397325291,0.025565526026747165,-0.18914845000000008,safe,safe,0.025565526026747165,0.18914845000000008,True,True
4,0.5,-0.21572050000000004,-0.19013991282604414,0.025580587173955893,-0.21572050000000004,safe,safe,0.025580587173955893,0.21572050000000004,True,True
4,0.55,-0.24229255000000005,-0.21669690167883543,0.02559564832116462,-0.24229255000000005,safe,safe,0.02559564832116462,0.24229255000000005,True,True
4,0.6000000000000001,-0.26886460000000006,-0.24325389053162672,0.02561070946837335,-0.26886460000000006,safe,safe,0.02561070946837335,0.26886460000000006,True,True
4,0.65,-0.2954366500000001,-0.269810879384418,0.025625770615582077,-0.2954366500000001,safe,safe,0.025625770615582077,0.2954366500000001,True,True
4,0.7000000000000001,-0.3220087000000001,-0.2963678682372093,0.025640831762790806,-0.3220087000000001,safe,safe,0.025640831762790806,0.3220087000000001,True,True
4,0.75,-0.34858075000000005,-0.3229248570900005,0.025655892909999534,-0.34858075000000005,safe,safe,0.025655892909999534,0.34858075000000005,True,True
4,0.8,-0.37515280000000006,-0.3494818459427918,0.02567095405720826,-0.37515280000000006,safe,safe,0.02567095405720826,0.37515280000000006,True,True
4,0.8500000000000001,-0.4017248500000001,-0.3760388347955831,0.02568601520441699,-0.4017248500000001,safe,safe,0.02568601520441699,0.4017248500000001,True,True
4,0.9,-0.4282969000000001,-0.4025958236483744,0.025701076351625718,-0.4282969000000001,safe,safe,0.025701076351625718,0.4282969000000001,True,True
4,0.9500000000000001,-0.4548689500000001,-0.4291528125011656,0.0257161374988345,-0.4548689500000001,safe,safe,0.0257161374988345,0.4548689500000001,True,True
4,1.0,-0.48144100000000006,-0.45570980135395683,0.02573119864604323,-0.48144100000000006,safe,safe,0.02573119864604323,0.48144100000000006,True,True
4,1.05,-0.5080130500000002,-0.4822667902067482,0.025746259793252013,-0.5080130500000002,safe,safe,0.025746259793252013,0.5080130500000002,True,True
4,1.1,-0.5345851000000001,-0.5088237790595393,0.025761320940460797,-0.5345851000000001,safe,safe,0.025761320940460797,0.5345851000000001,True,True
